Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,outlier?,US market model?
nacelle,0.8,59,50,29500,,Made - Endesa AE-59,https://en.wind-turbine-models.com/turbines/581-made-endesa-ae-59,,Made - Endesa,No,No
nacelle,0.5,41,50,29400,,bwu BWU 41-500,https://en.wind-turbine-models.com/turbines/981-bwu-bwu-41-500,,bwu,No,No
nacelle,0.5,37,50,29400,,Jacobs 37/500,https://en.wind-turbine-models.com/turbines/2173-jacobs-37-500,,Jacobs,No,No
nacelle,0.5,41,50,29400,,Jacobs 41/500,https://en.wind-turbine-models.com/turbines/1377-jacobs-41-500,,Jacobs,No,No
nacelle,0.8,56,50,29000,,Made - Endesa AE-56,https://en.wind-turbine-models.com/turbines/580-made-endesa-ae-56,,Made - Endesa,No,No
nacelle,1,45,60,29000,,STORK NEWECS-45,https://en.wind-turbine-models.com/turbines/1032-stork-newecs-45,,STORK,No,No
nacelle,0.5,43.8,40,28500,,NedWind NW 43/500,https://en.wind-turbine-models.com/turbines/330-nedwind-nw-43-500,,NedWind,No,No
nacelle,0.8,52,50,28200,,Made - Endesa AE-52,https://en.wind-turbine-models.com/turbines/579-made-endesa-ae-52,,Made - Endesa,No,No
nacelle,0.85,56,70,28000,,Frisia F56/850,https://en.wind-turbine-models.com/turbines/52-frisia-f56-850,,Frisia,No,No
nacelle,0.6,50,47,28000,,Windtec WT650,https://en.wind-turbine-models.com/turbines/1172-windtec-wt650,,Windtec,No,No
nacelle,0.6,44,45,27600,,ecotÃ¨cnia ECO 44/600,https://en.wind-turbine-models.com/turbines/790-ecot-cnia-eco-44-600,,ecotÃ¨cnia,No,No
nacelle,0.7,48,45,27600,,ecotÃ¨cnia ECO 48/700,https://en.wind-turbine-models.com/turbines/958-ecot-cnia-eco-48-700,,ecotÃ¨cnia,No,No
nacelle,0.75,48,45,27600,,ecotÃ¨cnia ECO 48/750,https://en.wind-turbine-models.com/turbines/791-ecot-cnia-eco-48-750,,ecotÃ¨cnia,No,No
nacelle,0.9,55,60,27000,,Enron 900s,https://en.wind-turbine-models.com/turbines/395-enron-900s,,Enron,No,No
nacelle,0.6,45.8,40,27000,,Floda Floda 600,https://en.wind-turbine-models.com/turbines/933-floda-floda-600,,Floda,No,No
nacelle,0.5,40.3,42,26500,,Enercon E-40/5.40,https://en.wind-turbine-models.com/turbines/67-enercon-e-40-5-40,,Enercon,No,Yes
nacelle,0.45,37,35,26100,,AN Bonus 450/37,https://en.wind-turbine-models.com/turbines/382-an-bonus-450-37,,AN Bonus,No,No
nacelle,0.5,40.1,41.5,26100,,Wind World W4100,https://en.wind-turbine-models.com/turbines/143-wind-world-w4100,,Wind World,No,No
nacelle,0.75,48,65,26000,,Frisia F48/750,https://en.wind-turbine-models.com/turbines/394-frisia-f48-750,,Frisia,No,No
nacelle,0.75,48.4,50,26000,,REpower 48/750,https://en.wind-turbine-models.com/turbines/704-repower-48-750,,REpower,No,No
nacelle,0.64,30.2,32,25000,,BEST - Romani Nogent-le-Roi,https://en.wind-turbine-models.com/turbines/1210-best-romani-nogent-le-roi,,BEST - Romani,No,No
nacelle,0.8,60,50,25000,,DDIS DDIS60,https://en.wind-turbine-models.com/turbines/568-ddis-ddis60,,DDIS,No,No
nacelle,0.6,45,44,25000,,Made - Endesa AE-45,https://en.wind-turbine-models.com/turbines/576-made-endesa-ae-45,,Made - Endesa,No,No
nacelle,0.66,46,43.5,25000,,Made - Endesa AE-46/I,https://en.wind-turbine-models.com/turbines/577-made-endesa-ae-46-i,,Made - Endesa,No,No
nacelle,0.8,50.5,74,25000,,Nordex N50P,https://en.wind-turbine-models.com/turbines/393-nordex-n50p,,Nordex,No,No
nacelle,0.75,49,60,25000,,Pioneer Wincon P 750/49,https://en.wind-turbine-models.com/turbines/453-pioneer-wincon-p-750-49,,Pioneer Wincon,No,No
nacelle,0.6,48.4,50,25000,,REpower 48/600,https://en.wind-turbine-models.com/turbines/703-repower-48-600,,REpower,No,Yes
nacelle,0.5,40,43.5,25000,,Ventis V12 500 Prototype,https://en.wind-turbine-models.com/turbines/412-ventis-v12-500-prototype,,Ventis,No,No
nacelle,0.75,52,44,25000,,Wind World WW 750/52,https://en.wind-turbine-models.com/turbines/244-wind-world-ww-750-52,,Wind World,No,No
nacelle,0.75,48,41.5,25000,,Wind World W4800/750,https://en.wind-turbine-models.com/turbines/420-wind-world-w4800-750,,Wind World,No,No
nacelle,0.75,52,45,25000,,Wind World W5200/750,https://en.wind-turbine-models.com/turbines/2358-wind-world-w5200-750,,Wind World,No,No
nacelle,0.9,52.2,60,24500,,NEG Micon NM 52/900,https://en.wind-turbine-models.com/turbines/43-neg-micon-nm-52-900,,NEG Micon,No,Yes
nacelle,1,53,58,24500,,Nordic Windpower AB Nordic 1000,https://en.wind-turbine-models.com/turbines/824-nordic-windpower-ab-nordic-1000,,Nordic Windpower AB,No,No
nacelle,0.9,52.2,61.5,24500,,Vestas V52 (NM),https://en.wind-turbine-models.com/turbines/147-vestas-v52-nm,,Vestas,No,No
nacelle,0.5,48,50,24500,,WTN Wind TechnikNord WTN 500/48,https://en.wind-turbine-models.com/turbines/1504-wtn-wind-techniknord-wtn-500-48,,WTN Wind TechnikNord,No,No
nacelle,0.6,46,50,24500,,WTN Wind TechnikNord WTN 646,https://en.wind-turbine-models.com/turbines/1171-wtn-wind-techniknord-wtn-646,,WTN Wind TechnikNord,No,No
nacelle,0.6,48,50,24500,,WTN Wind TechnikNord WTN 648,https://en.wind-turbine-models.com/turbines/1505-wtn-wind-techniknord-wtn-648,,WTN Wind TechnikNord,No,No
nacelle,0.525,36,41,24200,,Nordic Folkecenter DANmark DK 36/525 Prototype,https://en.wind-turbine-models.com/turbines/677-nordic-folkecenter-danmark-dk-36-525-prototype,,Nordic Folkecenter,No,No
nacelle,0.525,37,41,24200,,Nordic Folkecenter Hanstholm HM-37 525,https://en.wind-turbine-models.com/turbines/678-nordic-folkecenter-hanstholm-hm-37-525,,Nordic Folkecenter,No,No
nacelle,0.6,41,42.3,24000,,AN Bonus 600/41,https://en.wind-turbine-models.com/turbines/123-an-bonus-600-41,,AN Bonus,No,No
nacelle,0.6,44,42,24000,,AN Bonus 600/44,https://en.wind-turbine-models.com/turbines/343-an-bonus-600-44,,AN Bonus,No,No
nacelle,0.45,37,35,24000,,Bonus B37/450,https://en.wind-turbine-models.com/turbines/2339-bonus-b37-450,,Bonus,No,No
nacelle,0.5,39,35,24000,,Bonus B39/500,https://en.wind-turbine-models.com/turbines/2340-bonus-b39-500,,Bonus,No,No
nacelle,0.6,41,42.3,24000,,Bonus B41/600,https://en.wind-turbine-models.com/turbines/192-bonus-b41-600,,Bonus,No,No
nacelle,0.525,36,41,24000,,DANmark DK 36-500,https://en.wind-turbine-models.com/turbines/999-danmark-dk-36-500,,DANmark,No,No
nacelle,0.5,41,55,24000,,DeWind D4 41/500,https://en.wind-turbine-models.com/turbines/413-dewind-d4-41-500,,DeWind,No,No
nacelle,0.6,46,55,24000,,DeWind D4 46/600,https://en.wind-turbine-models.com/turbines/731-dewind-d4-46-600,,DeWind,No,No
nacelle,0.6,48,60,24000,,DeWind D4 48/600,https://en.wind-turbine-models.com/turbines/388-dewind-d4-48-600,,DeWind,No,No
nacelle,0.45,41,40,24000,,Mitsubishi MWT-450,https://en.wind-turbine-models.com/turbines/903-mitsubishi-mwt-450,,Mitsubishi,No,No
nacelle,0.6,43,40,24000,,Nordex N43,https://en.wind-turbine-models.com/turbines/390-nordex-n43,,Nordex,No,Yes
nacelle,0.599,46,40,24000,,Norwin 46 ASR 599,https://en.wind-turbine-models.com/turbines/2352-norwin-46-asr-599,,Norwin,No,No
nacelle,0.5,47,40,24000,,Norwin 47 ASR 500,https://en.wind-turbine-models.com/turbines/224-norwin-47-asr-500,,Norwin,No,No
nacelle,0.75,47,35,24000,,Norwin 47 ASR 750,https://en.wind-turbine-models.com/turbines/2354-norwin-47-asr-750,,Norwin,No,No
nacelle,0.8,50,46,23600,,Nordex N50,https://en.wind-turbine-models.com/turbines/392-nordex-n50,,Nordex,No,No
nacelle,0.8,50,46,23600,,SÃ¼dwind S-50 P,https://en.wind-turbine-models.com/turbines/718-suedwind-s-50-p,,SÃ¼dwind,No,No
nacelle,0.6,48,60,23500,,Micon M 1800-600,https://en.wind-turbine-models.com/turbines/419-micon-m-1800-600,,Micon,No,No
nacelle,0.75,54,40,23500,,Norwin 54 ASR 750,https://en.wind-turbine-models.com/turbines/2355-norwin-54-asr-750,,Norwin,No,No
nacelle,0.6,50,48,23500,,Pfleiderer PWE 650,https://en.wind-turbine-models.com/turbines/150-pfleiderer-pwe-650,,Pfleiderer,No,No
nacelle,0.85,52,44,23000,,Gamesa G52,https://en.wind-turbine-models.com/turbines/45-gamesa-g52,,Gamesa,No,Yes
nacelle,0.6,43,40,23000,,Jacobs 43/600,https://en.wind-turbine-models.com/turbines/1174-jacobs-43-600,,Jacobs,No,No
nacelle,0.6,48.4,50,23000,,Jacobs 48/600,https://en.wind-turbine-models.com/turbines/389-jacobs-48-600,,Jacobs,No,No
nacelle,0.75,48.4,50,23000,,Jacobs 48/750,https://en.wind-turbine-models.com/turbines/391-jacobs-48-750,,Jacobs,No,No
nacelle,0.6,48,46,23000,,NEG Micon NM 48/600,https://en.wind-turbine-models.com/turbines/1173-neg-micon-nm-48-600,,NEG Micon,No,Yes
nacelle,0.75,52,44,23000,,Seewind S 52 750,https://en.wind-turbine-models.com/turbines/337-seewind-s-52-750,,Seewind,No,No
nacelle,0.6,42,45,23000,,Wind World W4200,https://en.wind-turbine-models.com/turbines/243-wind-world-w4200,,Wind World,No,No
nacelle,0.6,43,40,23000,,Goldwind S 43 / 600,https://en.wind-turbine-models.com/turbines/1206-goldwind-s-43-600,,Goldwind,No,No
nacelle,0.75,49,50,23000,,Windey WD49-750,https://en.wind-turbine-models.com/turbines/1222-windey-wd49-750,,Windey,No,No
nacelle,0.75,50,50,23000,,Windey WD50-750,https://en.wind-turbine-models.com/turbines/1223-windey-wd50-750,,Windey,No,No
nacelle,0.8,52,50,23000,,Windey WD52-800,https://en.wind-turbine-models.com/turbines/1224-windey-wd52-800,,Windey,No,No
nacelle,0.6,43,78,22900,,Nordex N43 Lattice,https://en.wind-turbine-models.com/turbines/932-nordex-n43-lattice,,Nordex,No,No
nacelle,0.6,41,40,22700,,WEG Wind EnergyGroup WEG MS-4,https://en.wind-turbine-models.com/turbines/825-weg-wind-energygroup-weg-ms-4,,WEG Wind EnergyGroup,No,No
nacelle,0.6,44,40,22500,,AN Bonus 600/44 MK IV,https://en.wind-turbine-models.com/turbines/690-an-bonus-600-44-mk-iv,,AN Bonus,No,No
nacelle,0.6,44,35,22500,,BazÃ¡n 44/600 MK-IV,https://en.wind-turbine-models.com/turbines/978-baz-n-44-600-mk-iv,,BazÃ¡n,No,No
nacelle,0.6,44,42,22500,,Bonus B44/600,https://en.wind-turbine-models.com/turbines/698-bonus-b44-600,,Bonus,No,No
nacelle,0.6,44,35,22500,,IZAR TURBINAS Bonus 44/600,https://en.wind-turbine-models.com/turbines/816-izar-turbinas-bonus-44-600,,IZAR TURBINAS,No,No
nacelle,0.6,45.9,51.5,22500,,Markham VS 45,https://en.wind-turbine-models.com/turbines/386-markham-vs-45,,Markham,No,No
nacelle,0.75,48,50,22500,,Goldwind S 48 / 750,https://en.wind-turbine-models.com/turbines/1205-goldwind-s-48-750,,Goldwind,No,No
nacelle,0.6,41,50,22400,,GET Danwin 600/41,https://en.wind-turbine-models.com/turbines/414-get-danwin-600-41,,GET Danwin,No,No
nacelle,0.5,47,50,22000,,Aeronautica 47-500,https://en.wind-turbine-models.com/turbines/1980-aeronautica-47-500,,Aeronautica,No,No
nacelle,0.75,47,50,22000,,Aeronautica 47-750,https://en.wind-turbine-models.com/turbines/499-aeronautica-47-750,,Aeronautica,No,Yes
nacelle,0.75,54,50,22000,,Aeronautica 54-750,https://en.wind-turbine-models.com/turbines/500-aeronautica-54-750,,Aeronautica,No,Yes
nacelle,0.78,50,50,22000,,HEAG HW1-780,https://en.wind-turbine-models.com/turbines/1435-heag-hw1-780,,HEAG,No,No
nacelle,0.75,48.4,65,22000,,HSW Husumer Schiffs. HSW 750/48,https://en.wind-turbine-models.com/turbines/1170-hsw-husumer-schiffs-hsw-750-48,,HSW Husumer Schiffs.,No,No
nacelle,0.85,52,40,22000,,IWT V52,https://en.wind-turbine-models.com/turbines/1604-iwt-v52,,IWT,No,No
nacelle,0.75,44,40.4,22000,,Micon M 1500-750,https://en.wind-turbine-models.com/turbines/148-micon-m-1500-750,,Micon,No,No
nacelle,0.75,48.2,50,22000,,Micon M 1800-750,https://en.wind-turbine-models.com/turbines/1303-micon-m-1800-750,,Micon,No,No
nacelle,0.5,40.8,39,22000,,NedWind NW 41/500,https://en.wind-turbine-models.com/turbines/2612-nedwind-nw-41-500,,NedWind,No,No
nacelle,0.5,43.8,39,22000,,NedWind NW 44/500,https://en.wind-turbine-models.com/turbines/60-nedwind-nw-44-500,,NedWind,No,No
nacelle,0.75,44,40,22000,,NEG Micon NM 44/750,https://en.wind-turbine-models.com/turbines/1299-neg-micon-nm-44-750,,NEG Micon,No,No
nacelle,0.75,48.2,50,22000,,NEG Micon NM 48/750,https://en.wind-turbine-models.com/turbines/311-neg-micon-nm-48-750,,NEG Micon,No,Yes
nacelle,0.85,52,36.5,22000,,Vestas V52,https://en.wind-turbine-models.com/turbines/71-vestas-v52,,Vestas,No,No
nacelle,0.6,44,42.3,21500,,AN Bonus 600/44-3,https://en.wind-turbine-models.com/turbines/1175-an-bonus-600-44-3,,AN Bonus,No,No
nacelle,0.75,50,55,21500,,Enron 750i,https://en.wind-turbine-models.com/turbines/111-enron-750i,,Enron,No,No
nacelle,0.75,50,55,21500,,Zond Z-50,https://en.wind-turbine-models.com/turbines/2-zond-z-50,,Zond,No,No
nacelle,0.5,37,33.5,21400,,Wind World W3700,https://en.wind-turbine-models.com/turbines/240-wind-world-w3700,,Wind World,No,No
nacelle,0.63,41,40,21300,,Energovars EWT630,https://en.wind-turbine-models.com/turbines/2170-energovars-ewt630,,Energovars,No,No
nacelle,0.6,37,45,21000,,Micon M 1100-600,https://en.wind-turbine-models.com/turbines/1302-micon-m-1100-600,,Micon,No,Yes
nacelle,0.5,43,40,21000,,Micon M 1500-500,https://en.wind-turbine-models.com/turbines/94-micon-m-1500-500,,Micon,No,No
nacelle,0.6,43,40,21000,,Micon M 1500-600,https://en.wind-turbine-models.com/turbines/385-micon-m-1500-600,,Micon,No,No
nacelle,0.16,22,30,21000,,Nowomag EW 160,https://en.wind-turbine-models.com/turbines/1100-nowomag-ew-160,,Nowomag,No,No
nacelle,0.6,45.8,51.5,21000,,SÃ¼dwind N 4660,https://en.wind-turbine-models.com/turbines/417-suedwind-n-4660,,SÃ¼dwind,No,No
nacelle,0.75,50,55,21000,,Tacke TZ 750,https://en.wind-turbine-models.com/turbines/979-tacke-tz-750,,Tacke,No,No
nacelle,0.5,37,40,21000,,WTN Wind TechnikNord WTN 500/37,https://en.wind-turbine-models.com/turbines/1073-wtn-wind-techniknord-wtn-500-37,,WTN Wind TechnikNord,No,No
nacelle,0.6,43.7,50,20500,,Enercon E-40/6.44,https://en.wind-turbine-models.com/turbines/68-enercon-e-40-6-44,,Enercon,No,No
nacelle,0.6,43,40,20500,,WTN Wind TechnikNord WTN 643,https://en.wind-turbine-models.com/turbines/415-wtn-wind-techniknord-wtn-643,,WTN Wind TechnikNord,No,No
nacelle,0.66,47,40,20400,,Gamesa G47,https://en.wind-turbine-models.com/turbines/772-gamesa-g47,,Gamesa,No,Yes
nacelle,0.66,47,40,20400,,Vestas V47,https://en.wind-turbine-models.com/turbines/13-vestas-v47,,Vestas,No,Yes
nacelle,0.7,47,40,20400,,Vestas V47-700,https://en.wind-turbine-models.com/turbines/1724-vestas-v47-700,,Vestas,No,No
nacelle,0.5,45,31.5,20400,,Windflow 45-500,https://en.wind-turbine-models.com/turbines/1943-windflow-45-500,,Windflow,No,No
nacelle,0.5,44,52,20100,,DIMA DW 44-500/53,https://en.wind-turbine-models.com/turbines/1176-dima-dw-44-500-53,,DIMA,No,No
nacelle,0.6,48.4,50,20000,,bwu BWU 48-600,https://en.wind-turbine-models.com/turbines/350-bwu-bwu-48-600,,bwu,No,No
nacelle,0.75,48.4,50,20000,,bwu BWU 48-750,https://en.wind-turbine-models.com/turbines/351-bwu-bwu-48-750,,bwu,No,No
nacelle,0.3,32,34,20000,,Enercon E-32 / 300,https://en.wind-turbine-models.com/turbines/367-enercon-e-32-300,,Enercon,No,No
nacelle,0.6,43,46,20000,,NEG Micon NM 43/600,https://en.wind-turbine-models.com/turbines/844-neg-micon-nm-43-600,,NEG Micon,No,No
nacelle,0.6,43,50,20000,,Nordtank NTK 600,https://en.wind-turbine-models.com/turbines/49-nordtank-ntk-600,,Nordtank,No,No
nacelle,0.6,43,50,20000,,Nordtank NTK 600 Nearshore,https://en.wind-turbine-models.com/turbines/632-nordtank-ntk-600-nearshore,,Nordtank,No,No
nacelle,0.6,44,40.5,19800,,Gamesa G44,https://en.wind-turbine-models.com/turbines/771-gamesa-g44,,Gamesa,No,Yes
nacelle,0.6,44,40.5,19800,,Vestas V44,https://en.wind-turbine-models.com/turbines/272-vestas-v44,,Vestas,No,Yes
nacelle,0.6,45.8,51,19500,,Windtec WT646,https://en.wind-turbine-models.com/turbines/416-windtec-wt646,,Windtec,No,No
nacelle,0.75,46,48.6,19300,,Zond Z-46,https://en.wind-turbine-models.com/turbines/2525-zond-z-46,,Zond,No,No
nacelle,0.75,50,51.5,19000,,Neptun 50.0,https://en.wind-turbine-models.com/turbines/2176-neptun-50-0,,Neptun,No,No
nacelle,1.2,60,50,18700,,U.E. Fenosa AWEC-60,https://en.wind-turbine-models.com/turbines/818-u-e-fenosa-awec-60,,U.E. Fenosa,No,No
nacelle,0.4,34,30,18000,,DS-wind DS-400,https://en.wind-turbine-models.com/turbines/2051-ds-wind-ds-400,,DS-wind,No,No
nacelle,0.5,39,40.5,18000,,Gamesa G39,https://en.wind-turbine-models.com/turbines/769-gamesa-g39,,Gamesa,No,No
nacelle,0.3,33,41.5,18000,,Komaihaltec KWT300,https://en.wind-turbine-models.com/turbines/1878-komaihaltec-kwt300,,Komaihaltec,No,No
nacelle,0.6,46,51.5,18000,,Neptun 46.0,https://en.wind-turbine-models.com/turbines/2177-neptun-46-0,,Neptun,No,No
nacelle,0.6,46,51.5,18000,,SÃ¼dwind S-46,https://en.wind-turbine-models.com/turbines/1062-suedwind-s-46,,SÃ¼dwind,No,No
nacelle,0.6,48,74,18000,,SÃ¼dwind S-48,https://en.wind-turbine-models.com/turbines/2297-suedwind-s-48,,SÃ¼dwind,No,No
nacelle,0.4,34,30,18000,,TURBOWINDS T400-34,https://en.wind-turbine-models.com/turbines/570-turbowinds-t400-34,,TURBOWINDS,No,Yes
nacelle,0.5,39,40.5,18000,,Vestas V39,https://en.wind-turbine-models.com/turbines/383-vestas-v39,,Vestas,No,Yes
nacelle,0.6,39,40.5,18000,,Vestas V39-600,https://en.wind-turbine-models.com/turbines/1722-vestas-v39-600,,Vestas,No,No
nacelle,0.25,20,16.3,18000,,WEG Wind EnergyGroup WEG MS-1,https://en.wind-turbine-models.com/turbines/1351-weg-wind-energygroup-weg-ms-1,,WEG Wind EnergyGroup,No,No
nacelle,0.3,29,30,17900,,Mitsubishi MWT-250G,https://en.wind-turbine-models.com/turbines/901-mitsubishi-mwt-250g,,Mitsubishi,No,No
nacelle,0.3,33.4,30,17600,,AN Bonus 300/33,https://en.wind-turbine-models.com/turbines/112-an-bonus-300-33,,AN Bonus,No,No
nacelle,0.3,33.4,30,17500,,Bonus B33/300,https://en.wind-turbine-models.com/turbines/711-bonus-b33-300,,Bonus,No,No
nacelle,0.6,42,40.5,17300,,Gamesa G42,https://en.wind-turbine-models.com/turbines/770-gamesa-g42,,Gamesa,No,No
nacelle,0.6,42,40.5,17300,,IWT V42,https://en.wind-turbine-models.com/turbines/1611-iwt-v42,,IWT,No,No
nacelle,0.6,42,40.5,17300,,Vestas V42,https://en.wind-turbine-models.com/turbines/109-vestas-v42,,Vestas,No,Yes
nacelle,0.5,42,40.5,17300,,Vestas V42-500,https://en.wind-turbine-models.com/turbines/1723-vestas-v42-500,,Vestas,No,No
nacelle,0.33,31,25,17000,,James Howden HWP-330-31,https://en.wind-turbine-models.com/turbines/361-james-howden-hwp-330-31,,James Howden,No,No
nacelle,0.33,26,25,17000,,James Howden HWP-330-26,https://en.wind-turbine-models.com/turbines/2533-james-howden-hwp-330-26,,James Howden,No,No
nacelle,0.33,33,25,17000,,James Howden HWP-330-33,https://en.wind-turbine-models.com/turbines/2534-james-howden-hwp-330-33,,James Howden,No,No
nacelle,0.3,30,41.5,17000,,Mitsubishi MWT-300G,https://en.wind-turbine-models.com/turbines/2505-mitsubishi-mwt-300g,,Mitsubishi,No,No
nacelle,0.3,30,30,17000,,Polenko WPS 30,https://en.wind-turbine-models.com/turbines/2601-polenko-wps-30,,Polenko,No,No
nacelle,0.45,37,35,16800,,Nordtank NTK 450,https://en.wind-turbine-models.com/turbines/1671-nordtank-ntk-450,,Nordtank,No,No
nacelle,0.5,37,35,16800,,Nordtank NTK 500/37,https://en.wind-turbine-models.com/turbines/63-nordtank-ntk-500-37,,Nordtank,No,No
nacelle,0.5,41,42.1,16800,,Nordtank NTK 500/41,https://en.wind-turbine-models.com/turbines/384-nordtank-ntk-500-41,,Nordtank,No,Yes
nacelle,0.2,32,47,15700,,Stoma ST-K200/D32,https://en.wind-turbine-models.com/turbines/1610-stoma-st-k200-d32,,Stoma,No,No
nacelle,0.32,33,26,15000,,West Medit 320,https://en.wind-turbine-models.com/turbines/1076-west-medit-320,,West,No,No
nacelle,0.3,28,33,15000,,WindMaster / HMZ WM 300/28,https://en.wind-turbine-models.com/turbines/326-windmaster-hmz-wm-300-28,,WindMaster / HMZ,No,No
nacelle,0.3,30,33,15000,,WindMaster / HMZ WM 300/30,https://en.wind-turbine-models.com/turbines/1074-windmaster-hmz-wm-300-30,,WindMaster / HMZ,No,No
nacelle,0.2,38.1,30.5,14800,,NASA MOD-0A Westinghouse,https://en.wind-turbine-models.com/turbines/1366-nasa-mod-0a-westinghouse,,NASA,No,No
nacelle,0.25,27,30,14700,,Nordex N27/250,https://en.wind-turbine-models.com/turbines/1089-nordex-n27-250,,Nordex,No,No
nacelle,0.3,30.8,32,14500,,DWT Danish Wind Tech Windane 31,https://en.wind-turbine-models.com/turbines/1370-dwt-danish-wind-tech-windane-31,,DWT Danish Wind Tech,No,No
nacelle,0.4,34,32,14500,,DWT Danish Wind Tech Windane 34,https://en.wind-turbine-models.com/turbines/194-dwt-danish-wind-tech-windane-34,,DWT Danish Wind Tech,No,No
nacelle,0.25,29.7,36,14000,,Nordex N29,https://en.wind-turbine-models.com/turbines/56-nordex-n29,,Nordex,No,No
nacelle,0.2,33,33,13500,,Riva Calzoni M30 A,https://en.wind-turbine-models.com/turbines/1083-riva-calzoni-m30-a,,Riva Calzoni,No,No
nacelle,0.25,33,33,13500,,Riva Calzoni M30 S1,https://en.wind-turbine-models.com/turbines/340-riva-calzoni-m30-s1,,Riva Calzoni,No,No
nacelle,0.15,27,30,13000,,Nordex N27/150,https://en.wind-turbine-models.com/turbines/24-nordex-n27-150,,Nordex,No,No
nacelle,0.27,31.4,41.7,13000,,SÃ¼dwind N 3127,https://en.wind-turbine-models.com/turbines/30-suedwind-n-3127,,SÃ¼dwind,No,No
nacelle,0.3,33.4,40,13000,,SÃ¼dwind N 3330,https://en.wind-turbine-models.com/turbines/410-suedwind-n-3330,,SÃ¼dwind,No,No
nacelle,0.35,33.4,41.7,13000,,SÃ¼dwind N 3335,https://en.wind-turbine-models.com/turbines/411-suedwind-n-3335,,SÃ¼dwind,No,No
nacelle,0.3,33,40,13000,,Tacke TW 300,https://en.wind-turbine-models.com/turbines/381-tacke-tw-300,,Tacke,No,No
nacelle,0.3,30,30,12800,,DESA A300,https://en.wind-turbine-models.com/turbines/796-desa-a300,,DESA,No,No
nacelle,0.3,31,31,12800,,Nordtank NTK 300,https://en.wind-turbine-models.com/turbines/48-nordtank-ntk-300,,Nordtank,No,No
nacelle,0.33,28,31,12800,,Nordtank NTK 330,https://en.wind-turbine-models.com/turbines/1356-nordtank-ntk-330,,Nordtank,No,No
nacelle,0.5,33.2,29,12700,,Windflow 33-500,https://en.wind-turbine-models.com/turbines/721-windflow-33-500,,Windflow,No,No
nacelle,0.28,29.6,50,12600,,Enercon E-30,https://en.wind-turbine-models.com/turbines/376-enercon-e-30,,Enercon,No,No
nacelle,0.2,28,30,12500,,Nordtank NTK 200,https://en.wind-turbine-models.com/turbines/1355-nordtank-ntk-200,,Nordtank,No,No
nacelle,0.25,35,35,12000,,C&F CF 250,https://en.wind-turbine-models.com/turbines/1797-c-f-cf-250,,C&F,No,No
nacelle,1.25,64,68,12000,,GGS Falcon 1250,https://en.wind-turbine-models.com/turbines/1101-ggs-falcon-1250,,GGS,No,No
nacelle,0.2,28,35,11700,,Electria Wind GarbÃ­ 200/28,https://en.wind-turbine-models.com/turbines/800-electria-wind-garb-200-28,,Electria Wind,No,No
nacelle,0.265,29.3,29,11500,,DWT Danish Wind Tech Windane 29,https://en.wind-turbine-models.com/turbines/1389-dwt-danish-wind-tech-windane-29,,DWT Danish Wind Tech,No,No
nacelle,0.1,28,35,11500,,Electria Wind GarbÃ­ 100/28,https://en.wind-turbine-models.com/turbines/798-electria-wind-garb-100-28,,Electria Wind,No,No
nacelle,0.15,28,35,11500,,Electria Wind GarbÃ­ 150/28,https://en.wind-turbine-models.com/turbines/799-electria-wind-garb-150-28,,Electria Wind,No,No
nacelle,0.35,33,33,11500,,Riva Calzoni M30 S2,https://en.wind-turbine-models.com/turbines/1084-riva-calzoni-m30-s2,,Riva Calzoni,No,No
nacelle,0.3,33,25,11500,,WEG Wind EnergyGroup WEG MS-3,https://en.wind-turbine-models.com/turbines/610-weg-wind-energygroup-weg-ms-3,,WEG Wind EnergyGroup,No,No
nacelle,0.0998,30,30,11400,,ESPE FX EVO 30B-100,https://en.wind-turbine-models.com/turbines/2482-espe-fx-evo-30b-100,,ESPE,No,No
nacelle,0.2,36,31,11000,,ADES ADES 200,https://en.wind-turbine-models.com/turbines/339-ades-ades-200,,ADES,No,No
nacelle,0.2,22,22,11000,,James Howden HWP-200,https://en.wind-turbine-models.com/turbines/1386-james-howden-hwp-200,,James Howden,No,No
nacelle,0.3,22,22,11000,,James Howden HWP-300,https://en.wind-turbine-models.com/turbines/1384-james-howden-hwp-300,,James Howden,No,No
nacelle,0.18,23,28,11000,,Made - Endesa AE-23,https://en.wind-turbine-models.com/turbines/573-made-endesa-ae-23,,Made - Endesa,No,No
nacelle,0.25,31,36,11000,,Micon M 750/250,https://en.wind-turbine-models.com/turbines/1092-micon-m-750-250,,Micon,No,No
nacelle,0.33,30.4,30,10800,,Made - Endesa AE-30,https://en.wind-turbine-models.com/turbines/574-made-endesa-ae-30,,Made - Endesa,No,No
nacelle,0.2,26,30,10800,,WTN Wind TechnikNord WTN 200/26,https://en.wind-turbine-models.com/turbines/408-wtn-wind-techniknord-wtn-200-26,,WTN Wind TechnikNord,No,No
nacelle,0.06,32,33.5,10500,,ESPE FX EVO 32-60,https://en.wind-turbine-models.com/turbines/1530-espe-fx-evo-32-60,,ESPE,No,No
nacelle,0.4,31,35,10500,,Micon M 750/400,https://en.wind-turbine-models.com/turbines/665-micon-m-750-400,,Micon,No,No
nacelle,0.25,28.5,40,10500,,Shriram 250 T,https://en.wind-turbine-models.com/turbines/449-shriram-250-t,,Shriram,No,No
